source_file,cycle_index,start_sample_index,end_sample_index,start_time_s,end_time_s,stance_duration_s,swing_duration_s,peak_total_g,loading_rate_g_s,cop_ap_excursion_norm,cop_ml_excursion_norm,peak_tau_proxy_pf_nm,tau_proxy_impulse_nm_s,activity_hint,activity_pred,quality_flags
2026-5-14_levelground 1_left.csv,0,139,253,6.95,12.65,5.75,0.0,8459.0,13680.0,0.031588,0.126247,0.0,0.0,level_walking,level walking,
2026-5-14_levelground 1_left.csv,1,257,266,12.85,13.3,0.5,0.2,15290.0,106500.0,0.047281,0.021327,0.0,0.0,level_walking,level walking,
2026-5-14_levelground 1_left.csv,2,279,295,13.95,14.75,0.85,0.65,30817.0,354920.0,0.36984,0.273134,10.761035,1.778875,level_walking,level walking,
2026-5-14_levelground 1_left.csv,3,305,331,15.25,16.55,1.35,0.5,33360.0,51800.0,0.302795,0.31881,6.309516,0.751892,level_walking,level walking,
2026-5-14_levelground 1_left.csv,4,339,352,16.95,17.6,0.7,0.4,26746.0,181200.0,0.5433,0.869213,20.599067,5.690023,level_walking,level walking,
2026-5-14_levelground 1_left.csv,5,363,375,18.15,18.75,0.65,0.55,28514.0,164760.0,0.503798,0.873139,20.336926,5.48472,level_walking,level walking,
2026-5-14_levelground 1_left.csv,6,385,398,19.25,19.9,0.7,0.5,29512.0,78460.0,0.556969,1.158331,22.068384,5.761184,level_walking,level walking,
2026-5-14_levelground 1_left.csv,7,408,419,20.4,20.95,0.6,0.5,24875.0,74400.0,0.553155,0.816651,13.544404,4.147169,level_walking,level walking,
2026-5-14_levelground 1_left.csv,8,432,444,21.6,22.2,0.65,0.65,26247.0,64800.0,0.122234,0.368544,0.168151,0.016815,level_walking,level walking,
2026-5-14_levelground 1_left.csv,9,457,468,22.85,23.4,0.6,0.65,29687.0,11320.0,0.469091,0.542233,18.049748,4.869076,level_walking,level walking,
2026-5-14_levelground 1_left.csv,10,479,490,23.95,24.5,0.6,0.55,26755.0,141260.0,0.559781,0.798418,22.473275,5.513536,level_walking,level walking,
2026-5-14_levelground 1_left.csv,11,501,513,25.05,25.65,0.65,0.55,28558.0,335960.0,0.611463,0.643532,20.740256,6.843053,level_walking,level walking,
2026-5-14_levelground 1_left.csv,12,524,535,26.2,26.75,0.6,0.55,27175.0,160720.0,0.555396,0.862853,22.91405,6.457647,level_walking,level walking,
2026-5-14_levelground 1_left.csv,13,545,557,27.25,27.85,0.65,0.5,26118.0,139880.0,0.352575,0.408056,10.623418,3.116854,level_walking,level walking,
2026-5-14_levelground 1_left.csv,14,567,577,28.35,28.85,0.55,0.5,26967.0,150540.0,0.454856,0.323113,12.82226,3.301359,level_walking,level walking,
2026-5-14_levelground 1_left.csv,15,592,604,29.6,30.2,0.65,0.75,22630.0,31700.0,0.384175,0.974794,8.251832,3.471248,level_walking,level walking,
2026-5-14_levelground 1_left.csv,16,608,616,30.4,30.8,0.45,0.2,6585.0,31700.0,0.196945,0.231522,0.553981,0.027699,level_walking,level walking,
2026-5-14_levelground 1_left.csv,17,622,641,31.1,32.05,1.0,0.3,5148.0,18900.0,0.325204,0.642849,0.953802,0.138012,level_walking,level walking,
2026-5-14_levelground 1_left.csv,18,646,1172,32.3,58.6,26.35,0.25,5223.0,6380.0,0.021473,0.062139,0.0,0.0,level_walking,level walking,
